email,label
"Subject: Team Lunch on Thursday?

Hi Team,

I was thinking it might be fun for us to have a team lunch this Thursday. We could try out that new Italian place near the office. Let me know if you're interested so I can make a reservation.

Best,
Nina",Work
"Subject: Birthday Celebration for John!

Hi Team,

John's birthday is coming up next week! Let's celebrate with a small party in the office. We'll have cake, snacks, and some fun activities.

Please let me know if you can contribute something for the celebration.

Best,
Sophia",Work
"Subject: Weekend BBQ at My Place!

Hi Everyone,

I’m hosting a BBQ at my place this Saturday. Would love for you all to come by and enjoy some good food and great company. Feel free to bring any dishes or drinks you’d like to share.

Hope to see you there!

Cheers,
Aiden",Social
"Subject: Project Presentation Next Monday

Hi Team,

Just a reminder that we have a project presentation scheduled for next Monday at 2 PM. Please ensure your slides are finalized and sent to me by Friday EOD for review.

Thanks,
Rachel",Work
"Subject: Team Outing Next Friday

Hi Team,

We're planning a team outing next Friday to the amusement park. It's a great opportunity for us to bond outside of work. Please let me know if you're available to join us.

Thanks,
Oliver",Social
"Subject: Office Renovation Next Week

Hi Team,

Just a heads-up that our office will be undergoing renovations next week. Please make sure to pack up all personal items by Friday evening. The temporary workspace will be set up in the conference hall.

Best regards,
Monica, Office Manager",Work
"Subject: Security Update Required

Hi Team,

Our IT department has identified a vulnerability in our system that requires immediate attention. Please update your security settings by following the instructions in the attached document.

Thank you,
IT Department",Work
"Subject: Summer Internship Opportunity

Dear Students,

We are pleased to announce a summer internship program for undergraduate students. This is a great opportunity to gain hands-on experience in your field of study. Please find the application form attached and submit it by the end of this month.

Best regards,
Career Services Team",Work
"Subject: Important Security Alert

Dear User,

We've noticed unusual activity on your account and need you to verify your identity immediately. Please click the link below to secure your account and avoid any disruptions.

[VERIFY NOW](#)

Best regards,
Security Team",Spam
"Subject: Office Party Next Friday

Hi Team,

We’re planning an office party next Friday to celebrate the end of the quarter. There will be food, drinks, and games. Please let me know if you can attend.

Best,
Alex",Social
"Subject: Urgent: Verify Your Account Information

Dear User,

We have detected unusual activity on your account. To protect your information, please verify your account details immediately by clicking the link below. Failure to do so may result in temporary suspension of your account.

[VERIFY ACCOUNT](#)

Best regards,
Account Security Team",Spam
"Subject: Win a Brand New Car!

Dear Participant,

You have a chance to win a **brand new car**! Enter our competition now by clicking the link below. This offer is only available for a limited time.

[ENTER TO WIN](#)

Good luck!
Prize Team",Spam
"Subject: Unlock Exclusive VIP Membership!

Hello Valued Customer,

Unlock your **exclusive VIP membership** today and enjoy perks like early access to sales, special discounts, and more! Click the link below to start enjoying your VIP benefits.

[UPGRADE NOW](#)

Best,
Membership Team",Spam
"Subject: Urgent: Update Your Payment Information

Dear Customer,

We have encountered an issue with your recent transaction. To avoid service interruption, please update your payment information by clicking the link below.

[UPDATE PAYMENT](#)

Thank you,
Customer Support Team",Spam
"Subject: Win a Trip to Paris!

Dear Participant,

You have a chance to win a **free trip to Paris**! Enter our sweepstakes now by clicking the link below. This offer is available for a limited time only.

[ENTER TO WIN](#)

Good luck!
Sweepstakes Team",Spam
"Subject: Limited Time Offer - 50% Off Everything!

Hello Shopper,

Don't miss our limited-time offer of **50% off** on everything in our store! This incredible deal is available for the next 48 hours only.

Shop now: [LIMITED TIME OFFER](#)

Happy Shopping,
Discount Store",Promotion
"Subject: Exclusive Webinar on Data Science!

Hi Everyone,

We are excited to invite you to an exclusive **webinar on Data Science** next Wednesday. This is a great opportunity to learn from industry experts and enhance your skills.

Register here: [WEBINAR](#)

Best regards,
Learning Team",Work
